"Akin na 'yan!" biglang agaw ni Karlo sa laruan ni Lara.	agaw	agaw	agaw	agaw	agaw	agaw	kuha	kuha	kuha	kinuwa	nakaw
Isang agila ang kinaibigan ni Nanay.	agila	agila	agila	agila	agila	agila	agila	agila	agila	agila	lawin
Sa takot na matangay ng agos ang anak ay agad-agad niya itong tinulungan.	agos	agos	agos	agos	agos	agos	daloy	daloy	daloy	daloy	daloy
Ang grupo pala ng malaking si Enteng, akay ang mga balyan at sa saliw ng musika ay sumasayaw-sayaw.	akay	akay	akay	akay	akay	dala	dala	dala	dala	hawak	sama-sama
At ang sigaw ng ale sa malaking bahay ay "Aaaaaeeeeeiiiii!"	ale	ale	ale	ale	ale	ale	babae	babae	ate	mama	tindera
"Sino't alin sa dalawa ang inyong magiging asawa?" Sumagot na kapagkuwan si Don Pedrong tampalasan.	alin	alin	alin	alin	alin	alin	alin	alin	ano man	o	saan
Pagkauwi ko noong isang araw ay binuksan ko na ang alkansiya ko.	alkansiya	alkansiya	alkansiya	alkansiya	alkansiya	alkansiya	alkansya	alkansya	alkansya	alkansiya	kabang-yaman
Ipinapatawag siya ni Mama at pumupunta siya sa amin kapag may sakit ako.	amin	amin	amin	amin	amin	amin	amin	amin	amin	amin	tayo
Karga-karga nga raw ako ni Nanay nang ihatid siya sa airport ng buong angkan namin.	angkan	pamilya	pamilya	pamilya	pamilya	pamilya	angkan	angkan	angkan	lahi	lahi
Anuman ang mangyari at anuman ang marinig mo, huwag kang didilat at huwag kang lilingon.	anuman	anuman	anuman	anuman	anuman	anuman	anuman	anuman	anuman	ano	kahit ano
At pagdating ng gabi, isinilid pa niya ako sa aparador ng mga pinaglumaang sapatos.	aparador	kabinet	kabinet	kabinet	kabinet	kabinet	kabinet	aparador	aparador	aparador	lagayan
Di nalao'y natutuhan ang sa armas ay pagtangan.	armas	armas	armas	armas	armas	armas	armas	armas	armas	baril	sandata
Ihatid mo ako sa kabila at kukunin ko ang aking atay sa aming bahay.	atay	atay	atay	atay	atay	atay	atay	atay	atay	atay	karne
Kapag nahihirapan ako, nariyan palagi sina ate at kuya upang ako'y alalayan.	ate	ate	ate	ate	ate	ate	ate	ate	ate	ate	ate
Wala namang hurricane dito sa atin at wala namang nasalanta ngayon ng bagyo, lindol, o anuman.	atin	atin	atin	atin	atin	atin	atin	atin	atin	atin	amen
"Kasi hindi ka naligo kagabi, ayan tuloy," sabi niya.	ayan	ayan	ayan	ayan	ayan	ayan	ayan	ayan	ayan	ayan	eto
Pero ayaw pumayag ni Monang.	ayaw	ayaw	ayaw	ayaw	ayaw	ayaw	ayaw	ayaw	ayaw	ayaw	ayoko
Nalimot ni Tuan Putli ang babala ng asawa.	babala	babala	babala	babala	babala	babala	paalala	paalala	pabala	paunawa	sinabi
Kaya nang bahagya siyang kumilos, natibag ang kanyang tinutungtungan.	bahagya	dahan-dahan	dahan-dahan	dahan-dahan	kaunti	kaunti	kaunti	bahagya	bahagya	bigla	dahan
Kapag ganitong bakasyon ay sinasamantala ni Arturo ang pagkakataon.	bakasyon	bakasyon	bakasyon	bakasyon	bakasyon	bakasyon	bakasyon	bakasyon	bakasyon	pahinga	pahinga
Ang tubig sa balon ay lumalim nang dahan-dahan.	balon	balon	balon	balon	balon	balon	balon	balon	balon	bukal	poso
Inilabas sa mga baul ang bandera ng Filipinas, at muli itong iwinagayway, katabi ang bandera ng Amerika.	bandera	watawat	watawat	watawat	watawat	watawat	bandera	bandera	bandera	bandila	bandila
Nilibot niya ang buong lupain at nakita ang maraming bangkay sa paligid.	bangkay	patay	patay	patay	patay	patay	patay	patay	bangkay	bangkay	labi
Nasa ibang bansa nagtatrabaho ang kaniyang ama, kaya lahat ng uri ng laruan ay mayroon siya.	bansa	bansa	bansa	bansa	bansa	bansa	bansa	bansa	bansa	lugar	nasyon
May mga dalang baril ang mga bandido.	baril	baril	baril	baril	baril	baril	baril	baril	baril	baril	armas
Mag-iisip kayo ng codename na bawal ipagkalat.	bawal	bawal	bawal	bawal	bawal	bawal	bawal	bawal	bawal	bawal	hindi pwede
Ang bayong ni Nanay ay malaki at makulay.	bayong	bayong	bayong	bayong	bayong	basket	basket	lalagyan	lalagyan	sisidlan	supot
Pitong munting kahel sa bibig ng aso.	bibig	bibig	bibig	bibig	bibig	bibig	bibig	labi	labi	bunganga	nguso
Magrarampahan naman ang mga pantalon palda blusa at medyas.	blusa	blusa	blusa	blusa	blusa	blusa	blusa	blusa	damit	damit	bulsa
Bakit ko nasabing bruha si Mrs.	bruha	bruha	bruha	bruha	bruha	bruha	bruha	bruha	mangkukulam	mangkukulam	mangkukulam
